session,window_id,window_size_s,label,representation,dimension,fnn_percent,valid_count
sample_1.csv,6,60,Awake,Processed,9,1.0245901639344261,2928
sample_1.csv,6,60,Awake,Processed,10,0.9931506849315069,2920
sample_1.csv,7,60,Awake,Processed,1,96.08957219251337,2992
sample_1.csv,7,60,Awake,Processed,2,37.634048257372655,2984
sample_1.csv,7,60,Awake,Processed,3,8.971774193548388,2976
sample_1.csv,7,60,Awake,Processed,4,3.7735849056603774,2968
sample_1.csv,7,60,Awake,Processed,5,0.8108108108108109,2960
sample_1.csv,7,60,Awake,Processed,6,0.16937669376693767,2952
sample_1.csv,7,60,Awake,Processed,7,0.06793478260869565,2944
sample_1.csv,7,60,Awake,Processed,8,0.06811989100817438,2936
sample_1.csv,7,60,Awake,Processed,9,0.1366120218579235,2928
sample_1.csv,7,60,Awake,Processed,10,0.7876712328767124,2920
sample_1.csv,8,60,Awake,Processed,1,98.62967914438502,2992
sample_1.csv,8,60,Awake,Processed,2,42.024128686327074,2984
sample_1.csv,8,60,Awake,Processed,3,9.005376344086022,2976
sample_1.csv,8,60,Awake,Processed,4,2.15633423180593,2968
sample_1.csv,8,60,Awake,Processed,5,1.4527027027027029,2960
sample_1.csv,8,60,Awake,Processed,6,1.4905149051490514,2952
sample_1.csv,8,60,Awake,Processed,7,1.6304347826086956,2944
sample_1.csv,8,60,Awake,Processed,8,0.8514986376021799,2936
sample_1.csv,8,60,Awake,Processed,9,0.5806010928961749,2928
sample_1.csv,8,60,Awake,Processed,10,0.5821917808219178,2920
sample_1.csv,9,60,Awake,Processed,1,97.1590909090909,2992
sample_1.csv,9,60,Awake,Processed,2,39.47721179624665,2984
sample_1.csv,9,60,Awake,Processed,3,9.274193548387096,2976
sample_1.csv,9,60,Awake,Processed,4,1.954177897574124,2968
sample_1.csv,9,60,Awake,Processed,5,0.8108108108108109,2960
sample_1.csv,9,60,Awake,Processed,6,0.7113821138211381,2952
sample_1.csv,9,60,Awake,Processed,7,0.4755434782608696,2944
sample_1.csv,9,60,Awake,Processed,8,0.20435967302452315,2936
sample_1.csv,9,60,Awake,Processed,9,0.34153005464480873,2928
sample_1.csv,9,60,Awake,Processed,10,0.2397260273972603,2920
sample_1.csv,10,60,Awake,Processed,1,96.89171122994652,2992
sample_1.csv,10,60,Awake,Processed,2,36.930294906166225,2984
sample_1.csv,10,60,Awake,Processed,3,9.274193548387096,2976
sample_1.csv,10,60,Awake,Processed,4,2.7628032345013476,2968
sample_1.csv,10,60,Awake,Processed,5,0.7432432432432433,2960
sample_1.csv,10,60,Awake,Processed,6,0.40650406504065045,2952
sample_1.csv,10,60,Awake,Processed,7,0.30570652173913043,2944
sample_1.csv,10,60,Awake,Processed,8,0.30653950953678477,2936
sample_1.csv,10,60,Awake,Processed,9,0.3756830601092896,2928
sample_1.csv,10,60,Awake,Processed,10,0.4452054794520548,2920
sample_1.csv,11,60,Awake,Processed,1,95.98930481283422,2992
sample_1.csv,11,60,Awake,Processed,2,33.947721179624665,2984
sample_1.csv,11,60,Awake,Processed,3,7.728494623655914,2976
sample_1.csv,11,60,Awake,Processed,4,2.055256064690027,2968
sample_1.csv,11,60,Awake,Processed,5,0.4391891891891892,2960
sample_1.csv,11,60,Awake,Processed,6,0.23712737127371272,2952
sample_1.csv,11,60,Awake,Processed,7,0.2377717391304348,2944
sample_1.csv,11,60,Awake,Processed,8,0.06811989100817438,2936
sample_1.csv,11,60,Awake,Processed,9,0.1366120218579235,2928
sample_1.csv,11,60,Awake,Processed,10,0.3082191780821918,2920
sample_1.csv,12,60,Awake,Processed,1,97.82754010695187,2992
sample_1.csv,12,60,Awake,Processed,2,38.03619302949062,2984
sample_1.csv,12,60,Awake,Processed,3,7.963709677419355,2976
sample_1.csv,12,60,Awake,Processed,4,1.853099730458221,2968
sample_1.csv,12,60,Awake,Processed,5,0.8445945945945946,2960
sample_1.csv,12,60,Awake,Processed,6,0.5081300813008129,2952
sample_1.csv,12,60,Awake,Processed,7,0.3736413043478261,2944
sample_1.csv,12,60,Awake,Processed,8,0.2724795640326975,2936
sample_1.csv,12,60,Awake,Processed,9,0.10245901639344263,2928
sample_1.csv,12,60,Awake,Processed,10,0.2397260273972603,2920
sample_1.csv,13,60,Awake,Processed,1,96.5909090909091,2992
sample_1.csv,13,60,Awake,Processed,2,37.73458445040214,2984
sample_1.csv,13,60,Awake,Processed,3,9.475806451612904,2976
sample_1.csv,13,60,Awake,Processed,4,3.234501347708895,2968
sample_1.csv,13,60,Awake,Processed,5,0.6418918918918919,2960
sample_1.csv,13,60,Awake,Processed,6,0.47425474254742545,2952
sample_1.csv,13,60,Awake,Processed,7,0.44157608695652173,2944
