session,window_id,state,window_size_s,representation,surrogate_id,surrogate_seed,rho_star,sampling_rate_hz,m,tau_s,tau_samples,theiler_s,theiler_samples,fit_start_s,fit_end_s,max_follow_s,surrogate_lle,surrogate_fit_r2,n_embedded,n_pairs_initial,n_pairs_fit_min,valid,qc_reason
8,1,Awake,60,processed,30,16561310477878046078,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5654036420205306,0.8700891880195428,1472,1472,1421,True,ok
8,1,Awake,60,processed,31,3490517562914489481,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5342952442388598,0.8726642855509068,1472,1472,1406,True,ok
8,1,Awake,60,processed,32,16622449644179502557,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5112793774079355,0.8068158170515766,1472,1472,1416,True,ok
8,1,Awake,60,processed,33,9117749907163139962,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5726119498313201,0.9103041101448426,1472,1472,1407,True,ok
8,1,Awake,60,processed,34,2408508388955838862,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5831065682310048,0.8645904993411752,1472,1472,1419,True,ok
8,1,Awake,60,processed,35,17256916303652902925,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.6022164873660867,0.9301315528556863,1472,1472,1416,True,ok
8,1,Awake,60,processed,36,17833467041735527570,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5476587701366427,0.8583827106558304,1472,1472,1406,True,ok
8,1,Awake,60,processed,37,17045662131504742966,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5852355244987427,0.8904628701151691,1472,1472,1397,True,ok
8,1,Awake,60,processed,38,11656011191590225142,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5563995477555651,0.9122377172564828,1472,1472,1401,True,ok
8,1,Awake,60,processed,39,7563536575979899486,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.6043682779386755,0.9433825050860398,1472,1472,1405,True,ok
8,2,Awake,60,processed,1,9901189248526849530,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.601386104785539,0.8336634627471011,1472,1472,1405,True,ok
8,2,Awake,60,processed,2,13071829186245917562,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6770263362643233,0.9637873955778415,1472,1472,1398,True,ok
8,2,Awake,60,processed,3,4121519486240488839,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6953032164250639,0.8556552150849108,1472,1472,1408,True,ok
8,2,Awake,60,processed,4,9661848396528862002,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.699555855709075,0.9174562629073663,1472,1472,1392,True,ok
8,2,Awake,60,processed,5,11940702040458672763,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6323748005415875,0.8879525689556622,1472,1472,1422,True,ok
8,2,Awake,60,processed,6,135920196346588395,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6610248673961753,0.9084149257221987,1472,1472,1414,True,ok
8,2,Awake,60,processed,7,12308996554137172113,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6340946671944102,0.9204190033755753,1472,1472,1423,True,ok
8,2,Awake,60,processed,8,8148467657309084958,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6209771713221965,0.8789484152053487,1472,1472,1390,True,ok
8,2,Awake,60,processed,9,2247110621023414349,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6602167145416898,0.9707612908078093,1472,1472,1409,True,ok
8,2,Awake,60,processed,10,16971510745172188913,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6199195842799077,0.8374911777566466,1472,1472,1419,True,ok
8,2,Awake,60,processed,11,5945939206619979121,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.7502819796113049,0.9409247990106476,1472,1472,1433,True,ok
8,2,Awake,60,processed,12,8084320062206958999,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6674392717238473,0.8893208707314322,1472,1472,1411,True,ok
8,2,Awake,60,processed,13,16909073710272223032,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.745600978304822,0.9424796921525069,1472,1472,1416,True,ok
