session,representation,state,window_size,window_id,fs,tau_samples,theiler_samples,epsilon,target_rr,achieved_rr,DET,Lmean,ENTR,Lmax,LAM,TT,Vmax,n_diagonal_lines,n_vertical_lines
sample_1,Processed,Awake,120,10,50.00000000004548,8,56,109.33900398544398,0.02,0.0200000253875525,0.9252222129262868,5.066621378242599,1.9676034295801963,317,0.7355067550998624,2.403489090112045,7,63298,212147
sample_1,Processed,Awake,120,12,50.00000000004548,8,56,98.364519629001,0.02,0.0200000253875525,0.9317970036956152,5.485030143500042,2.0210881018933344,264,0.8554671159488442,2.6070114513044818,8,58885,227485
sample_1,Processed,Awake,120,13,50.00000000004548,8,56,101.25239339572552,0.02,0.0200000253875525,0.9321172326448892,5.499055399540465,2.027778205413984,268,0.8472017471229881,2.569769680422836,8,58755,228552
sample_1,Processed,Awake,180,1,50.00000000004548,8,56,120.25261822284256,0.02,0.0200000111409813,0.912567399734389,4.773173348166395,1.9448472796632912,252,0.7140282600961922,2.488470855045159,5,151014,453286
sample_1,Processed,Awake,180,2,50.00000000004548,8,56,121.64180353546784,0.02,0.0200000111409813,0.9266430089748152,5.151925107341452,2.001207302375996,269,0.7423155757162191,2.4806884384479675,9,142070,472722
sample_1,Processed,Awake,180,3,50.00000000004548,8,56,125.81685878741575,0.02,0.0200000111409813,0.9125636016746912,4.8001078806121225,1.9230173348382968,234,0.8034263562554677,2.581108040338965,8,150166,491733
sample_1,Processed,Awake,180,4,50.00000000004548,8,56,106.37942158622626,0.02,0.0200000111409813,0.9172909199786802,4.846435809793914,1.9517296059966576,174,0.6756551969483856,2.3840580195706607,5,149501,447711
sample_1,Processed,Awake,180,5,50.00000000004548,8,56,118.43533881157131,0.02,0.0200000111409813,0.9041217809861536,4.737185992981898,1.890165743739821,215,0.7571590260255711,2.5439725211621083,6,150753,470180
sample_1,Processed,Awake,180,7,50.00000000004548,8,56,96.63684649153988,0.02,0.0200000111409813,0.9328692948395764,5.531465119246909,2.034023823751054,264,0.8363745241347703,2.5257803300249275,7,133211,523112
sample_1,Processed,Drowsy,60,18,50.00000000004548,8,56,110.93246383143148,0.02,0.0200001055452515,0.9146167408278062,4.852870052182767,1.9405477803651712,191,0.7400841958813582,2.448310750491004,5,15714,50407
sample_1,Processed,Drowsy,60,21,50.00000000004548,8,56,120.69432599115498,0.02,0.0200001055452515,0.9082840591530038,4.789400455350367,1.895627473150346,143,0.8106732072394065,2.5669932778853823,7,15812,52662
sample_1,Processed,Drowsy,60,24,50.00000000004548,8,56,79.65456018581988,0.02,0.0200001055452515,0.9271261858785996,5.15718193341784,1.9322798539198,204,0.826115115679384,2.607867635923065,10,14989,52824
sample_1,Processed,Drowsy,60,25,50.00000000004548,8,56,82.38549170012246,0.02,0.0200001055452515,0.9390959137411996,5.4904284412032816,2.03306827247371,264,0.7914352879091356,2.419428759991201,6,14261,54548
sample_1,Processed,Drowsy,60,26,50.00000000004548,8,56,81.89348382563796,0.02,0.0200001055452515,0.9410149081881094,5.256884422110553,1.9852776356293729,194,0.7831416337838972,2.435463717573339,7,14925,53621
sample_1,Processed,Drowsy,60,31,50.00000000004548,8,56,48.14005728505892,0.02,0.0200001055452515,0.9465320172229752,5.495369403244899,2.034887370236116,264,0.8816700049174233,2.823599454569897,12,14361,52069
sample_1,Processed,Drowsy,60,34,50.00000000004548,8,56,94.70479860509631,0.02,0.0200001055452515,0.9423821917315328,5.7516287241051165,2.097207195965261,209,0.7860021348813222,2.3926433004746257,5,13661,54780
sample_1,Processed,Drowsy,120,11,50.00000000004548,8,56,82.82135855574913,0.02,0.0200000253875525,0.9350829566075348,5.3674631957209336,2.000067578411493,264,0.8170281022540079,2.50356036262216,11,60387,226241
sample_1,Processed,Drowsy,180,6,50.00000000004548,8,56,83.16294317505775,0.02,0.0200000111409813,0.9367433157314368,5.356363610039309,1.9979467123959869,264,0.8079378181666259,2.478090519191303,11,138137,515051
sample_1,Raw,Awake,60,1,50.00000000004548,10,70,653.7817066864102,0.02,0.0200001467577543,0.9824381176010176,7.58063602906483,2.31282506380131,264,0.994209226103121,8.128230765385192,21,10597,20003
sample_1,Raw,Awake,60,2,50.00000000004548,10,70,358.29197590215534,0.02,0.0200001467577543,0.9513501614323452,4.741846997866504,2.011323322413588,141,0.9752042363760884,5.0707767638548855,11,16405,31451
