session,representation,window_size,n_awake_windows,n_drowsy_windows,delta_DET,delta_Lmean,delta_ENTR,delta_Lmax,delta_LAM,delta_TT,delta_Vmax
sample_17,Raw,180,9,4,0.045772543568702306,0.3090867364752752,0.06287613281227533,37.55555555555556,0.03945387772737863,0.12761893682123082,-0.13888888888888928
sample_18,Processed,60,19,21,-0.04255900585557093,-0.025379954600670995,0.004186161674272881,-7.218045112781951,0.03684849210899785,0.008086419248605203,0.36340852130325807
sample_18,Processed,120,8,10,-0.07267491516816327,-0.09862040542218908,-0.0032076786285812897,-2.875,0.05457356132129915,0.022144099462835243,0.3250000000000002
sample_18,Processed,180,5,6,-0.06263301037746838,-0.1237885447080691,-0.004855356802435873,-5.0,0.0765488122551031,0.017045359884364952,0.3666666666666667
sample_18,Raw,60,19,24,-0.036743268128726525,0.2590700521822047,0.10560780626239819,0.41885964912280826,-0.010635669795972635,-0.008952191023944511,0.34868421052631593
sample_18,Raw,120,8,11,-0.038953899379490675,0.29905897602538634,0.11225193210781703,25.852272727272734,-0.008004802867907057,0.047969842027766774,1.1818181818181817
sample_18,Raw,180,5,7,-0.036636608212256117,0.35277575432097086,0.12801818086739547,41.085714285714275,0.005699942115935497,0.07615613524484299,1.371428571428571
sample_19,Processed,60,34,10,-0.04471006044112702,-0.00235714773804796,-0.0044205996461654795,5.841176470588238,0.09700603282057652,0.023644324478700796,0.5588235294117645
sample_19,Processed,120,15,4,-0.05776817247985966,0.007942814967899725,-0.013881222583410624,33.16666666666667,0.12047957880319779,0.03814396773646633,0.4666666666666668
sample_19,Processed,180,9,2,-0.08800234879359714,-0.04897454892717468,-0.02680669469063579,37.44444444444444,0.15500193949998617,0.11114197434844675,1.4444444444444446
sample_19,Raw,60,34,11,-0.04582391801839403,-0.00018459340912801991,-0.05221616881041413,15.275401069518708,0.1495869909678399,0.31208910588695593,1.3048128342245988
sample_19,Raw,120,15,4,-0.041147751106968,-0.033561717230258026,-0.05680708467096651,59.68333333333334,0.18831702011963025,0.43736219380814,2.3499999999999996
