session,window_id,state,vector_index,x_t,x_t_plus_tau,x_t_plus_2tau
sample_1,7,Awake,188,70.39368495157618,-66.20356179072947,-242.7239656142864
sample_1,7,Awake,189,60.286039307748815,-84.35275240678409,-273.5160841269987
sample_1,7,Awake,190,45.018151839721455,-103.93268767022003,-298.9336166615488
sample_1,7,Awake,191,26.513243271876625,-123.92695130965872,-302.8641768817775
sample_1,7,Awake,192,6.487984934254751,-143.78742172095713,-266.0169940055127
sample_1,7,Awake,193,-13.540555321718248,-164.52202857461117,-183.0044135384762
sample_1,7,Awake,194,-32.20773509790127,-187.55744601021925,-72.89746321210269
sample_1,7,Awake,195,-49.314043540817146,-213.584030320144,32.23346027435505
sample_1,7,Awake,196,-66.20356179072947,-242.7239656142864,108.3552556923988
sample_1,7,Awake,197,-84.35275240678409,-273.5160841269987,149.29161123834837
sample_1,7,Awake,198,-103.93268767022003,-298.9336166615488,162.79080975625274
sample_1,7,Awake,199,-123.92695130965872,-302.8641768817775,161.353839716086
sample_1,7,Awake,200,-143.78742172095713,-266.0169940055127,154.5129815658487
sample_1,7,Awake,201,-164.52202857461117,-183.0044135384762,145.65280490194164
sample_1,7,Awake,202,-187.55744601021925,-72.89746321210269,133.57935338706432
sample_1,7,Awake,203,-213.584030320144,32.23346027435505,116.94753667364252
sample_1,7,Awake,204,-242.7239656142864,108.3552556923988,97.49324290144598
sample_1,7,Awake,205,-273.5160841269987,149.29161123834837,79.39798165562875
sample_1,7,Awake,206,-298.9336166615488,162.79080975625274,66.7873947736859
sample_1,7,Awake,207,-302.8641768817775,161.353839716086,61.57546405531849
sample_1,7,Awake,208,-266.0169940055127,154.5129815658487,62.14248948552372
sample_1,7,Awake,209,-183.0044135384762,145.65280490194164,63.91182684236589
sample_1,7,Awake,210,-72.89746321210269,133.57935338706432,61.75293241498216
sample_1,7,Awake,211,32.23346027435505,116.94753667364252,52.71280397467265
sample_1,7,Awake,212,108.3552556923988,97.49324290144598,37.45773052205482
sample_1,7,Awake,213,149.29161123834837,79.39798165562875,19.0494048853384
sample_1,7,Awake,214,162.79080975625274,66.7873947736859,0.3810875711532127
sample_1,7,Awake,215,161.353839716086,61.57546405531849,-17.016980576387724
sample_1,7,Awake,216,154.5129815658487,62.14248948552372,-32.34566540409217
sample_1,7,Awake,217,145.65280490194164,63.91182684236589,-44.6171901976039
sample_1,7,Awake,218,133.57935338706432,61.75293241498216,-53.39594853275928
sample_1,7,Awake,219,116.94753667364252,52.71280397467265,-60.44251082784586
sample_1,7,Awake,220,97.49324290144598,37.45773052205482,-68.92199281820119
sample_1,7,Awake,221,79.39798165562875,19.0494048853384,-80.77277603068556
sample_1,7,Awake,222,66.7873947736859,0.3810875711532127,-96.37395302392748
