session,threshold_pct,window_size_s,label,representation,n_windows,n_m_found,m_found_rate_pct,median_m,iqr_m,mode_m,q10_m,q25_m,q50_m,q75_m,q90_m,min_m,max_m,median_min_fnn_pct
sample_11.csv,4.0,60,Awake,Processed,20,20,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.100000000000001,4.0,5.0,1.019029263862121
sample_11.csv,4.0,60,Awake,Raw,20,20,100.0,5.0,1.0,5.0,4.0,5.0,5.0,6.0,7.100000000000001,4.0,8.0,2.389078498293516
sample_11.csv,4.0,60,Drowsy,Processed,18,18,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.9498902733592554
sample_11.csv,4.0,60,Drowsy,Raw,16,16,100.0,5.0,2.25,5.0,4.0,4.75,5.0,7.0,8.0,4.0,8.0,2.2603004820379295
sample_11.csv,4.0,120,Awake,Processed,9,9,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,0.9424436216762032
sample_11.csv,4.0,120,Awake,Raw,8,8,100.0,5.0,1.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,2.597840755735493
sample_11.csv,4.0,120,Drowsy,Processed,8,8,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.9604998163709423
sample_11.csv,4.0,120,Drowsy,Raw,8,8,100.0,5.5,1.25,6.0,4.0,4.75,5.5,6.0,6.6,4.0,8.0,2.253107613909492
sample_11.csv,4.0,180,Awake,Processed,5,5,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.8954555630176853
sample_11.csv,4.0,180,Awake,Raw,5,5,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.6,5.0,6.0,2.3772146221125814
sample_11.csv,4.0,180,Drowsy,Processed,6,6,100.0,4.0,0.75,4.0,4.0,4.0,4.0,4.75,5.0,4.0,5.0,0.8962186783214456
sample_11.csv,4.0,180,Drowsy,Raw,6,6,100.0,6.0,0.75,6.0,4.5,5.25,6.0,6.0,6.5,4.0,7.0,2.5046798405679978
sample_11.csv,5.0,60,Awake,Processed,20,20,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.019029263862121
sample_11.csv,5.0,60,Awake,Raw,20,20,100.0,4.5,1.0,4.0,4.0,4.0,4.5,5.0,5.100000000000001,4.0,7.0,2.389078498293516
sample_11.csv,5.0,60,Drowsy,Processed,18,18,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.9498902733592554
sample_11.csv,5.0,60,Drowsy,Raw,16,16,100.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,2.2603004820379295
sample_11.csv,5.0,120,Awake,Processed,9,9,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.9424436216762032
sample_11.csv,5.0,120,Awake,Raw,8,8,100.0,5.0,0.0,5.0,4.7,5.0,5.0,5.0,5.0,4.0,5.0,2.597840755735493
sample_11.csv,5.0,120,Drowsy,Processed,8,8,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.9604998163709423
sample_11.csv,5.0,120,Drowsy,Raw,8,8,100.0,5.0,0.25,5.0,4.0,4.75,5.0,5.0,5.0,4.0,5.0,2.253107613909492
sample_11.csv,5.0,180,Awake,Processed,5,5,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.8954555630176853
sample_11.csv,5.0,180,Awake,Raw,5,5,100.0,5.0,0.0,5.0,4.4,5.0,5.0,5.0,5.0,4.0,5.0,2.3772146221125814
